title,day,time,full_time,organizer,num_comments,url,description,comment
"Tom Igoe Mystery Talk",24,"7:30 pm","June 24, 2013 @ 7:30 pm – 9:00 pm","Crys Moore",27,http://itp.nyu.edu/camp2013/ai1ec_event/tom-igoe-mystery-talk/?instance_id=1000,&nbsp;,"Killswitches: Where they do and don&#8217;t belong."
"Tom Igoe Mystery Talk",24,"7:30 pm","June 24, 2013 @ 7:30 pm – 9:00 pm","Crys Moore",27,http://itp.nyu.edu/camp2013/ai1ec_event/tom-igoe-mystery-talk/?instance_id=1000,&nbsp;,"Understanding Networks (truncated)"
"Tom Igoe Mystery Talk",24,"7:30 pm","June 24, 2013 @ 7:30 pm – 9:00 pm","Crys Moore",27,http://itp.nyu.edu/camp2013/ai1ec_event/tom-igoe-mystery-talk/?instance_id=1000,&nbsp;,"Communicating with Animals as metaphor"
