title,day,time,full_time,organizer,num_comments,url,description,comment
"Revisiting the GSM shield",22,"12:30 pm","June 22, 2013 @ 12:30 pm – 1:30 pm",Scott!,7,http://itp.nyu.edu/camp2013/ai1ec_event/revisiting-the-gsm-shield/?instance_id=1155,"This is a make-up session from the other week.",attending
"Nudgeables Workshop",22,"1:00 pm","June 22, 2013 @ 1:00 pm – 4:00 pm",kh928,23,http://itp.nyu.edu/camp2013/ai1ec_event/nudgeables-workshop/?instance_id=131,"Sometimes we use secret codes to communicate with our friends, partners, or colleagues while in the company of a larger group of people: a nudge, a cough, a scratch of the nose; something that says “I&#8217;m thinking of you&#8230;”, “Save me from this conversation!”, or “Let’s get out of here!”.  What if our clothing could communicate these messages for us?",attending
"Intel Perceptual Computing Lab",27,"3:00 pm","June 27, 2013 @ 3:00 pm – 4:00 pm",kh928,18,http://itp.nyu.edu/camp2013/ai1ec_event/intel-perceptual-computing-lab/?instance_id=1182,"Hear about the latest projects from the Intel Perceptual Computing Lab!","Attending (if I can get out of work in time!)"
"Air Quality Sensor Hacking Session",27,"6:00 pm","June 27, 2013 @ 6:00 pm – 7:30 pm","Brent Dixon",4,http://itp.nyu.edu/camp2013/ai1ec_event/air-quality-sensor-hacking-session/?instance_id=1206,,"Attending.  What sensors do you guys use for air quality?"
"End-of-Camp Shindig",28,"6:00 pm","June 28, 2013 @ 6:00 pm – 9:00 pm",admin,48,http://itp.nyu.edu/camp2013/ai1ec_event/end-of-camp-shindig/?instance_id=1134,"Half show &amp; tell, half party, the End of Camp Shindig is an opportunity to celebrate the month we&#8217;ve spent together and share what we&#8217;ve created.","Attending, +1"
