title,day,time,full_time,organizer,num_comments,url,description,comment
"Shop Safety!",5,"5:00 pm","June 5, 2013 @ 5:00 pm – 6:00 pm","Crys Moore",20,http://itp.nyu.edu/camp2013/ai1ec_event/shop-safety-5/?instance_id=615,"Get Shop certified!","Hey I just had to cancel my attendance today so your now the 12th!"
"Shop Safety!",5,"6:00 pm","June 5, 2013 @ 6:00 pm – 7:00 pm",alessandra,12,http://itp.nyu.edu/camp2013/ai1ec_event/shop-safety-10/?instance_id=721,"Get Shop certified!","I&#8217;m in"
"Shop Safety!",5,"7:00 pm","June 5, 2013 @ 7:00 pm – 8:00 pm","Crys Moore",6,http://itp.nyu.edu/camp2013/ai1ec_event/shop-safety-7/?instance_id=617,"Get Shop certified!",attending!
"Product Design/DigiFab",6,"2:00 pm","June 6, 2013 @ 2:00 pm – 3:00 pm","Xuedi Chen",16,http://itp.nyu.edu/camp2013/ai1ec_event/product-designdigifab/?instance_id=725,"We will be covering design tools (software and hardware) for digital fabrication.",attending!
"iOS Boot Camp",7,"4:00 pm","June 7, 2013 @ 4:00 pm – 7:00 pm",Roopa,19,http://itp.nyu.edu/camp2013/ai1ec_event/ios-boot-camp-2/?instance_id=765,"Getting started with the iPhone, iPad or iPod touch using Apple&#8217;s native development tools. This is a three hour hands on workshop session that should get you beyond the &#8220;Hello World&#8221; stage and leave you with code running on you device and on to the interesting stuff. We&#8217;ll hopefully move on to playing around with the onboard sensors, or perhaps the map and location frameworks, depending on what people in the class would rather do with the time.","I&#8217;ll be attending"
"Shop Safety!",7,"5:00 pm","June 7, 2013 @ 5:00 pm – 6:00 pm","Crys Moore",8,http://itp.nyu.edu/camp2013/ai1ec_event/2949-2/?instance_id=623,"Get Shop certified!",Attending!
